model,layer,domain,condition_a,condition_b,procrustes_disparity,concept_subset,bootstrap_id
Qwen/Qwen3-VL-8B-Instruct,6,sensory,M_matched_image,M_mismatched_image,0.05433996825915055,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,6,sensory,M_matched_image,M_blank_image,0.07419287476075032,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,7,sensory,M_matched_image,M_degraded_image,0.011192989555754318,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,7,sensory,M_matched_image,M_mismatched_image,0.0682896094782961,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,7,sensory,M_matched_image,M_blank_image,0.08082768562487219,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,8,sensory,M_matched_image,M_degraded_image,0.012216461803496781,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,8,sensory,M_matched_image,M_mismatched_image,0.07537513769619619,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,8,sensory,M_matched_image,M_blank_image,0.0890132486588624,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,9,sensory,M_matched_image,M_degraded_image,0.013688643013762158,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,9,sensory,M_matched_image,M_mismatched_image,0.09704587167264633,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,9,sensory,M_matched_image,M_blank_image,0.10558792919582438,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,10,sensory,M_matched_image,M_degraded_image,0.016225622112754357,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,10,sensory,M_matched_image,M_mismatched_image,0.14009133845993071,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,10,sensory,M_matched_image,M_blank_image,0.13870231873821504,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,11,sensory,M_matched_image,M_degraded_image,0.016526377602227083,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,11,sensory,M_matched_image,M_mismatched_image,0.1531070294054988,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,11,sensory,M_matched_image,M_blank_image,0.14905404450615412,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,12,sensory,M_matched_image,M_degraded_image,0.018403208669126148,data/concepts/things_max_1854_concepts.csv,aggregate
