model,condition,layer,domain,anchor_name,anchor_type,rsa_score,bootstrap_id,ci_low,ci_high
Qwen/Qwen3.5-9B,T_neutral,9,sensory,THINGS behavioral similarity,human_behavioral,0.25473540409230455,aggregate,0.1812931091890164,0.3233176853075629
Qwen/Qwen3.5-9B,T_neutral,9,sensory,DINOv2,pure_vision,0.2311798709825026,aggregate,0.16036907013610344,0.30150463681885437
Qwen/Qwen3.5-9B,T_neutral,9,sensory,CLIP ViT-L/14,vision_language,0.12635277437909018,aggregate,0.05128852322893961,0.19841559016343446
Qwen/Qwen3.5-9B,T_neutral,9,sensory,SigLIP2,vision_language,0.23439587913272128,aggregate,0.16589218241999498,0.30124766502407646
Qwen/Qwen3.5-9B,T_neutral,10,sensory,THINGS behavioral similarity,human_behavioral,0.26442822076058087,aggregate,0.1928227876258825,0.33169922742546637
Qwen/Qwen3.5-9B,T_neutral,10,sensory,DINOv2,pure_vision,0.23797900771584984,aggregate,0.17127525964448023,0.3054646678307067
Qwen/Qwen3.5-9B,T_neutral,10,sensory,CLIP ViT-L/14,vision_language,0.12579945145734622,aggregate,0.0513404839705956,0.1956850344424628
Qwen/Qwen3.5-9B,T_neutral,10,sensory,SigLIP2,vision_language,0.24306874964769704,aggregate,0.17263293849772082,0.3088141144518659
Qwen/Qwen3.5-9B,T_neutral,11,sensory,THINGS behavioral similarity,human_behavioral,0.2604975707634904,aggregate,0.18956074840176942,0.32860429736444013
Qwen/Qwen3.5-9B,T_neutral,11,sensory,DINOv2,pure_vision,0.2311573166836325,aggregate,0.15508438903004904,0.29894842855288956
Qwen/Qwen3.5-9B,T_neutral,11,sensory,CLIP ViT-L/14,vision_language,0.0947962707831129,aggregate,0.020743158554240745,0.16826995936470174
Qwen/Qwen3.5-9B,T_neutral,11,sensory,SigLIP2,vision_language,0.23666685179843078,aggregate,0.1669127090061803,0.30353701052742366
Qwen/Qwen3.5-9B,T_neutral,12,sensory,THINGS behavioral similarity,human_behavioral,0.2527154833475357,aggregate,0.17471241242355967,0.3193648878819858
Qwen/Qwen3.5-9B,T_neutral,12,sensory,DINOv2,pure_vision,0.22431010095483783,aggregate,0.1453467785036042,0.296893788614407
Qwen/Qwen3.5-9B,T_neutral,12,sensory,CLIP ViT-L/14,vision_language,0.09841428426954744,aggregate,0.027070096502301234,0.1766854611575452
Qwen/Qwen3.5-9B,T_neutral,12,sensory,SigLIP2,vision_language,0.22808371492582022,aggregate,0.15467438242390788,0.2925230808825667
Qwen/Qwen3.5-9B,T_neutral,13,sensory,THINGS behavioral similarity,human_behavioral,0.24800538158069915,aggregate,0.17571676222329757,0.3229634471846803
Qwen/Qwen3.5-9B,T_neutral,13,sensory,DINOv2,pure_vision,0.2199208893287841,aggregate,0.1396263954240182,0.29399013238307214
Qwen/Qwen3.5-9B,T_neutral,13,sensory,CLIP ViT-L/14,vision_language,0.10798538923538925,aggregate,0.037763994664357245,0.17726273868364864
Qwen/Qwen3.5-9B,T_neutral,13,sensory,SigLIP2,vision_language,0.2265518877360983,aggregate,0.1558485358630864,0.2945116279132712
Qwen/Qwen3.5-9B,T_neutral,14,sensory,THINGS behavioral similarity,human_behavioral,0.2532727336798985,aggregate,0.17907976529528663,0.326720876133803
Qwen/Qwen3.5-9B,T_neutral,14,sensory,DINOv2,pure_vision,0.2191572553414659,aggregate,0.14360375665474978,0.2895242914056513
Qwen/Qwen3.5-9B,T_neutral,14,sensory,CLIP ViT-L/14,vision_language,0.10930859779543992,aggregate,0.039892331399422984,0.17984964267468567
Qwen/Qwen3.5-9B,T_neutral,14,sensory,SigLIP2,vision_language,0.2203225492699177,aggregate,0.15092636315855748,0.2822612067561134
Qwen/Qwen3.5-9B,T_neutral,15,sensory,THINGS behavioral similarity,human_behavioral,0.2527851497945398,aggregate,0.17419080449565785,0.32136639881755613
Qwen/Qwen3.5-9B,T_neutral,15,sensory,DINOv2,pure_vision,0.21875645888803785,aggregate,0.1491691284811086,0.29106799283727536
Qwen/Qwen3.5-9B,T_neutral,15,sensory,CLIP ViT-L/14,vision_language,0.11348632401263982,aggregate,0.028791483260930516,0.19478852513824996
Qwen/Qwen3.5-9B,T_neutral,15,sensory,SigLIP2,vision_language,0.2258162307504413,aggregate,0.1570842700101605,0.29406197396124106
Qwen/Qwen3.5-9B,T_neutral,16,sensory,THINGS behavioral similarity,human_behavioral,0.25604326469157207,aggregate,0.17852781605960388,0.32498493255950617
Qwen/Qwen3.5-9B,T_neutral,16,sensory,DINOv2,pure_vision,0.22320673636463112,aggregate,0.14908109126617763,0.2929069373965447
Qwen/Qwen3.5-9B,T_neutral,16,sensory,CLIP ViT-L/14,vision_language,0.11745021613442667,aggregate,0.0393411930105006,0.18844491174808128
Qwen/Qwen3.5-9B,T_neutral,16,sensory,SigLIP2,vision_language,0.22445679024626397,aggregate,0.15567156122599973,0.29338004974577836
Qwen/Qwen3.5-9B,T_neutral,17,sensory,THINGS behavioral similarity,human_behavioral,0.26390306167785843,aggregate,0.18936218926475018,0.33121328571409775
Qwen/Qwen3.5-9B,T_neutral,17,sensory,DINOv2,pure_vision,0.23248822755401705,aggregate,0.16278637635058585,0.3040190034102155
Qwen/Qwen3.5-9B,T_neutral,17,sensory,CLIP ViT-L/14,vision_language,0.12579237085816034,aggregate,0.05384973596273458,0.19913427824169685
Qwen/Qwen3.5-9B,T_neutral,17,sensory,SigLIP2,vision_language,0.22684951467846207,aggregate,0.157946407771699,0.29788392774586764
Qwen/Qwen3.5-9B,T_neutral,18,sensory,THINGS behavioral similarity,human_behavioral,0.2650345828914439,aggregate,0.1894710266244011,0.331470525881559
Qwen/Qwen3.5-9B,T_neutral,18,sensory,DINOv2,pure_vision,0.23120591377170327,aggregate,0.1609987611153967,0.3046054801797377
Qwen/Qwen3.5-9B,T_neutral,18,sensory,CLIP ViT-L/14,vision_language,0.12294448478659006,aggregate,0.04657292483938498,0.19877064065104166
Qwen/Qwen3.5-9B,T_neutral,18,sensory,SigLIP2,vision_language,0.22766716845664217,aggregate,0.15836768215811597,0.2985748633654556
Qwen/Qwen3.5-9B,T_neutral,19,sensory,THINGS behavioral similarity,human_behavioral,0.28447387767201543,aggregate,0.20951873370538077,0.3540399258280552
Qwen/Qwen3.5-9B,T_neutral,19,sensory,DINOv2,pure_vision,0.24167932885038151,aggregate,0.16755657162154194,0.31252618379339875
Qwen/Qwen3.5-9B,T_neutral,19,sensory,CLIP ViT-L/14,vision_language,0.11740151542783123,aggregate,0.038517525991043806,0.19196123131939674
Qwen/Qwen3.5-9B,T_neutral,19,sensory,SigLIP2,vision_language,0.24012795229900497,aggregate,0.16913876432613434,0.31007503636100775
Qwen/Qwen3.5-9B,T_neutral,20,sensory,THINGS behavioral similarity,human_behavioral,0.3191034639152685,aggregate,0.2472880718549806,0.38951775140537814
Qwen/Qwen3.5-9B,T_neutral,20,sensory,DINOv2,pure_vision,0.2692565011643959,aggregate,0.19820771710857554,0.3379030169998932
Qwen/Qwen3.5-9B,T_neutral,20,sensory,CLIP ViT-L/14,vision_language,0.10748584432794961,aggregate,0.031174350007499803,0.18892574391157663
Qwen/Qwen3.5-9B,T_neutral,20,sensory,SigLIP2,vision_language,0.25916108646371805,aggregate,0.1911659863945324,0.32151377306701795
Qwen/Qwen3.5-9B,T_neutral,21,sensory,THINGS behavioral similarity,human_behavioral,0.2934244927932294,aggregate,0.22122713476315578,0.3589388859664743
Qwen/Qwen3.5-9B,T_neutral,21,sensory,DINOv2,pure_vision,0.2641102180575865,aggregate,0.18998711778918384,0.3324869359749509
Qwen/Qwen3.5-9B,T_neutral,21,sensory,CLIP ViT-L/14,vision_language,0.12863065494644443,aggregate,0.050312897069661196,0.20151776478289601
Qwen/Qwen3.5-9B,T_neutral,21,sensory,SigLIP2,vision_language,0.2811392663366348,aggregate,0.20968088651919278,0.34195959348287924
Qwen/Qwen3.5-9B,T_neutral,22,sensory,THINGS behavioral similarity,human_behavioral,0.23532824118320841,aggregate,0.16543435299777234,0.30076168757305904
Qwen/Qwen3.5-9B,T_neutral,22,sensory,DINOv2,pure_vision,0.18604902979902982,aggregate,0.11947264642491545,0.259766573331144
Qwen/Qwen3.5-9B,T_neutral,22,sensory,CLIP ViT-L/14,vision_language,0.10086800547326864,aggregate,0.028844379497514096,0.1775938538836321
Qwen/Qwen3.5-9B,T_neutral,22,sensory,SigLIP2,vision_language,0.18344640877535617,aggregate,0.111560475589857,0.2572599168214055
Qwen/Qwen3.5-9B,T_neutral,23,sensory,THINGS behavioral similarity,human_behavioral,0.24536886200265035,aggregate,0.1750616648825436,0.3182679502644523
Qwen/Qwen3.5-9B,T_neutral,23,sensory,DINOv2,pure_vision,0.21691139289823502,aggregate,0.14546253081235455,0.28362011298457784
Qwen/Qwen3.5-9B,T_neutral,23,sensory,CLIP ViT-L/14,vision_language,0.13709497591076542,aggregate,0.06937968925583765,0.20888637013975925
Qwen/Qwen3.5-9B,T_neutral,23,sensory,SigLIP2,vision_language,0.1832392408050303,aggregate,0.10921489538459442,0.25588985131862907
Qwen/Qwen3.5-9B,T_neutral,24,sensory,THINGS behavioral similarity,human_behavioral,0.23973985370655454,aggregate,0.16859951475265114,0.30884163972707473
Qwen/Qwen3.5-9B,T_neutral,24,sensory,DINOv2,pure_vision,0.21898127654706606,aggregate,0.1429116737395814,0.2931959705846879
Qwen/Qwen3.5-9B,T_neutral,24,sensory,CLIP ViT-L/14,vision_language,0.14330894429578642,aggregate,0.06887981712186753,0.2176493822469694
Qwen/Qwen3.5-9B,T_neutral,24,sensory,SigLIP2,vision_language,0.22072179144547568,aggregate,0.1488347269519209,0.29086085465806377
Qwen/Qwen3.5-9B,T_neutral,25,sensory,THINGS behavioral similarity,human_behavioral,0.25877585490936705,aggregate,0.18935588537352088,0.33024550612238707
Qwen/Qwen3.5-9B,T_neutral,25,sensory,DINOv2,pure_vision,0.23092604013656648,aggregate,0.16336902964101666,0.30262851515161954
Qwen/Qwen3.5-9B,T_neutral,25,sensory,CLIP ViT-L/14,vision_language,0.14948122349438142,aggregate,0.07551204181890608,0.22465448419447576
Qwen/Qwen3.5-9B,T_neutral,25,sensory,SigLIP2,vision_language,0.21417517305675204,aggregate,0.13819391169558373,0.2825724240013706
Qwen/Qwen3.5-9B,T_neutral,26,sensory,THINGS behavioral similarity,human_behavioral,0.26576463850984483,aggregate,0.1934677741916422,0.3362294754234194
Qwen/Qwen3.5-9B,T_neutral,26,sensory,DINOv2,pure_vision,0.22899348557243296,aggregate,0.15715930353089433,0.30214644250246914
Qwen/Qwen3.5-9B,T_neutral,26,sensory,CLIP ViT-L/14,vision_language,0.13949056712214608,aggregate,0.059735629558052186,0.2139790781328342
Qwen/Qwen3.5-9B,T_neutral,26,sensory,SigLIP2,vision_language,0.21413866479655957,aggregate,0.1417311491997062,0.28555106395877317
Qwen/Qwen3.5-9B,T_neutral,27,sensory,THINGS behavioral similarity,human_behavioral,0.27093998215279674,aggregate,0.20003083896333035,0.33876382098783003
Qwen/Qwen3.5-9B,T_neutral,27,sensory,DINOv2,pure_vision,0.2177507029480714,aggregate,0.14623951250376171,0.2900164324765463
Qwen/Qwen3.5-9B,T_neutral,27,sensory,CLIP ViT-L/14,vision_language,0.09756506138085087,aggregate,0.019672822895604278,0.17244499746318354
Qwen/Qwen3.5-9B,T_neutral,27,sensory,SigLIP2,vision_language,0.2087901874086085,aggregate,0.1320247600353362,0.279866628721706
Qwen/Qwen3.5-9B,T_neutral,28,sensory,THINGS behavioral similarity,human_behavioral,0.26157681167544655,aggregate,0.1916720417629899,0.33349039672149056
Qwen/Qwen3.5-9B,T_neutral,28,sensory,DINOv2,pure_vision,0.20832241884873468,aggregate,0.13497772035203848,0.2804957312174746
Qwen/Qwen3.5-9B,T_neutral,28,sensory,CLIP ViT-L/14,vision_language,0.11764940547835286,aggregate,0.045241105297522566,0.19215124610971163
Qwen/Qwen3.5-9B,T_neutral,28,sensory,SigLIP2,vision_language,0.22815952914637128,aggregate,0.15934710904610516,0.29375359563785164
Qwen/Qwen3.5-9B,T_neutral,29,sensory,THINGS behavioral similarity,human_behavioral,0.27401741112780326,aggregate,0.20022939744552765,0.3440648743087228
Qwen/Qwen3.5-9B,T_neutral,29,sensory,DINOv2,pure_vision,0.233017925452136,aggregate,0.16007234587184427,0.300812395246843
Qwen/Qwen3.5-9B,T_neutral,29,sensory,CLIP ViT-L/14,vision_language,0.11339054595633545,aggregate,0.042613589491179965,0.18443400369086996
Qwen/Qwen3.5-9B,T_neutral,29,sensory,SigLIP2,vision_language,0.2264560751402857,aggregate,0.15487068236255064,0.2924142969010161
Qwen/Qwen3.5-9B,T_neutral,30,sensory,THINGS behavioral similarity,human_behavioral,0.29127080434584574,aggregate,0.21947352315569665,0.3643609850776134
Qwen/Qwen3.5-9B,T_neutral,30,sensory,DINOv2,pure_vision,0.2516603141603142,aggregate,0.17725058892318948,0.3180051370681833
Qwen/Qwen3.5-9B,T_neutral,30,sensory,CLIP ViT-L/14,vision_language,0.1311476525292315,aggregate,0.054741616289333266,0.20258836377564
Qwen/Qwen3.5-9B,T_neutral,30,sensory,SigLIP2,vision_language,0.21653795173532017,aggregate,0.14411918809945862,0.28446545051054056
Qwen/Qwen3.5-9B,T_neutral,31,sensory,THINGS behavioral similarity,human_behavioral,0.30893691540736434,aggregate,0.24256775550451418,0.37449001925238384
Qwen/Qwen3.5-9B,T_neutral,31,sensory,DINOv2,pure_vision,0.268296682770367,aggregate,0.19364589645441124,0.33739858976818937
Qwen/Qwen3.5-9B,T_neutral,31,sensory,CLIP ViT-L/14,vision_language,0.14279534180849973,aggregate,0.06900343815552404,0.21114870713378522
Qwen/Qwen3.5-9B,T_neutral,31,sensory,SigLIP2,vision_language,0.2173971565418934,aggregate,0.1491757759291607,0.28869766052619644
Qwen/Qwen3.5-9B,T_neutral,32,sensory,THINGS behavioral similarity,human_behavioral,0.3286669812827786,aggregate,0.25393961844960644,0.3963765305652185
Qwen/Qwen3.5-9B,T_neutral,32,sensory,DINOv2,pure_vision,0.3073390030626873,aggregate,0.23567927328959878,0.3767277876104449
Qwen/Qwen3.5-9B,T_neutral,32,sensory,CLIP ViT-L/14,vision_language,0.17288640314956108,aggregate,0.09937010719771136,0.2462790856962766
Qwen/Qwen3.5-9B,T_neutral,32,sensory,SigLIP2,vision_language,0.24413864545443495,aggregate,0.16984098941990924,0.3087513388889283
Qwen/Qwen3.5-9B,T_prompt_primary,0,sensory,THINGS behavioral similarity,human_behavioral,0.20643608291363358,aggregate,0.13234920717900617,0.28764268271738336
Qwen/Qwen3.5-9B,T_prompt_primary,0,sensory,DINOv2,pure_vision,0.18095652470652474,aggregate,0.10335687931448706,0.25554795774150824
Qwen/Qwen3.5-9B,T_prompt_primary,0,sensory,CLIP ViT-L/14,vision_language,0.06554255073991917,aggregate,-0.003867921929581288,0.13448410797375338
Qwen/Qwen3.5-9B,T_prompt_primary,0,sensory,SigLIP2,vision_language,0.1680062469536154,aggregate,0.09688058621825887,0.2417944386408088
Qwen/Qwen3.5-9B,T_prompt_primary,1,sensory,THINGS behavioral similarity,human_behavioral,0.20847684265975117,aggregate,0.13394685742110207,0.2793324720516135
Qwen/Qwen3.5-9B,T_prompt_primary,1,sensory,DINOv2,pure_vision,0.19168532490900914,aggregate,0.11894744430568135,0.2637867712594348
Qwen/Qwen3.5-9B,T_prompt_primary,1,sensory,CLIP ViT-L/14,vision_language,0.08992198630356527,aggregate,0.015149242792387854,0.1587389740984913
Qwen/Qwen3.5-9B,T_prompt_primary,1,sensory,SigLIP2,vision_language,0.08595122081964188,aggregate,0.010112334839524782,0.15852308048111868
Qwen/Qwen3.5-9B,T_prompt_primary,2,sensory,THINGS behavioral similarity,human_behavioral,0.2340269613212089,aggregate,0.1612702606131068,0.3038378671414072
Qwen/Qwen3.5-9B,T_prompt_primary,2,sensory,DINOv2,pure_vision,0.2161878938194728,aggregate,0.13923270481423156,0.28520988392789726
Qwen/Qwen3.5-9B,T_prompt_primary,2,sensory,CLIP ViT-L/14,vision_language,0.03803912027596239,aggregate,-0.03908022814650594,0.11989798579130678
Qwen/Qwen3.5-9B,T_prompt_primary,2,sensory,SigLIP2,vision_language,0.14059078861710442,aggregate,0.07244710907390199,0.21237372634323623
