condition,layer,level,rsa_score,num_concepts
M_matched_image,18,subtype,0.062823508420245,1854
M_matched_image,19,coarse_category,0.09495901479026529,1854
M_matched_image,19,subtype,0.06038090935588097,1854
M_matched_image,20,coarse_category,0.0931268059892595,1854
M_matched_image,20,subtype,0.058214558582083804,1854
M_matched_image,21,coarse_category,0.08657220846783928,1854
M_matched_image,21,subtype,0.051578347064929864,1854
M_matched_image,22,coarse_category,0.08648075317345767,1854
M_matched_image,22,subtype,0.052463572603275506,1854
M_matched_image,23,coarse_category,0.08035559654199236,1854
M_matched_image,23,subtype,0.047923404128314036,1854
M_matched_image,24,coarse_category,0.0894434711072475,1854
M_matched_image,24,subtype,0.06043493090180279,1854
M_matched_image,25,coarse_category,0.08372858693109345,1854
M_matched_image,25,subtype,0.05810502731648586,1854
M_matched_image,26,coarse_category,0.08233410410929512,1854
M_matched_image,26,subtype,0.06149676902514004,1854
M_matched_image,27,coarse_category,0.07645470825461635,1854
M_matched_image,27,subtype,0.05099538081338922,1854
M_matched_image,28,coarse_category,0.07734035478743691,1854
M_matched_image,28,subtype,0.04906995570528765,1854
M_matched_image,29,coarse_category,0.07079553694902065,1854
M_matched_image,29,subtype,0.04209969236048441,1854
M_matched_image,30,coarse_category,0.07670306919287867,1854
M_matched_image,30,subtype,0.05197830806291565,1854
M_matched_image,31,coarse_category,0.0848535595542849,1854
M_matched_image,31,subtype,0.06168480190614612,1854
M_matched_image,32,coarse_category,0.08393094915000289,1854
M_matched_image,32,subtype,0.06397048370868329,1854
M_matched_image,33,coarse_category,0.08210678585473644,1854
M_matched_image,33,subtype,0.0625351239631921,1854
M_matched_image,34,coarse_category,0.0761969616756411,1854
M_matched_image,34,subtype,0.06239300226467401,1854
M_matched_image,35,coarse_category,0.07799176747974869,1854
M_matched_image,35,subtype,0.06465288082180665,1854
M_matched_image,36,coarse_category,0.08723545137806413,1854
M_matched_image,36,subtype,0.09052083929122151,1854
M_prompt_plus_matched_image,18,coarse_category,0.12330385866024285,1854
M_prompt_plus_matched_image,18,subtype,0.07605631776902856,1854
M_prompt_plus_matched_image,19,coarse_category,0.12084077208246694,1854
M_prompt_plus_matched_image,19,subtype,0.07651382075999738,1854
M_prompt_plus_matched_image,20,coarse_category,0.11988400256854029,1854
M_prompt_plus_matched_image,20,subtype,0.07520558794757215,1854
M_prompt_plus_matched_image,21,coarse_category,0.11030616400389968,1854
M_prompt_plus_matched_image,21,subtype,0.0670426504553425,1854
M_prompt_plus_matched_image,22,coarse_category,0.10763621797478504,1854
M_prompt_plus_matched_image,22,subtype,0.06553868868299437,1854
M_prompt_plus_matched_image,23,coarse_category,0.10093275616310576,1854
M_prompt_plus_matched_image,23,subtype,0.05919480874553795,1854
M_prompt_plus_matched_image,24,coarse_category,0.11412028190925791,1854
M_prompt_plus_matched_image,24,subtype,0.0766204953120188,1854
M_prompt_plus_matched_image,25,coarse_category,0.10198218664522034,1854
M_prompt_plus_matched_image,25,subtype,0.06966933963594303,1854
M_prompt_plus_matched_image,26,coarse_category,0.10069286217685047,1854
M_prompt_plus_matched_image,26,subtype,0.07396214389724269,1854
M_prompt_plus_matched_image,27,coarse_category,0.08908169802526232,1854
