model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3.5-9B,11,sensory,T_prompt_primary,98.4198357024866,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,12,sensory,T_prompt_primary,95.00352802526609,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,13,sensory,T_prompt_primary,81.95715040252207,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,14,sensory,T_prompt_primary,73.64831793669018,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,15,sensory,T_prompt_primary,64.64198726523004,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,16,sensory,T_prompt_primary,63.66536530401851,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,17,sensory,T_prompt_primary,62.845574524681666,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,18,sensory,T_prompt_primary,61.86548811462858,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,19,sensory,T_prompt_primary,66.48756670223028,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,20,sensory,T_prompt_primary,82.85982250634677,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,21,sensory,T_prompt_primary,91.97504342797436,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,22,sensory,T_prompt_primary,107.26241385171276,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,23,sensory,T_prompt_primary,126.03795175501004,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,24,sensory,T_prompt_primary,144.90865972430134,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,25,sensory,T_prompt_primary,142.7683397841585,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,26,sensory,T_prompt_primary,145.89625683444066,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,27,sensory,T_prompt_primary,161.3138035998296,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,28,sensory,T_prompt_primary,161.73340797283817,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,29,sensory,T_prompt_primary,151.27586459691847,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,30,sensory,T_prompt_primary,144.14144210900437,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,31,sensory,T_prompt_primary,126.45546040109365,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,32,sensory,T_prompt_primary,79.69300544927495,1854,4096,data/concepts/things_max_1854_concepts.csv
