concept,diagnostic_role,image_id,within_concept_similarity,nearest_between_similarity,image_to_prompt_similarity
foam,reversal,foam_01,0.991524148714076,0.8387376711803769,0.01844574345089848
foam,reversal,foam_02,0.991524148714076,0.8387376711803769,0.01844574345089848
foam,reversal,foam_03,0.9899750559910309,0.8564191630803067,0.019251289423263655
foam,reversal,foam_04,0.9862723868909287,0.8470625865223915,0.018648640576754947
foam,reversal,foam_05,0.9900444113408982,0.8441503179651666,0.01790328859005318
perfume,reversal,perfume_01,0.9924248325186267,0.868745682089673,0.008646969808774886
perfume,reversal,perfume_02,0.9924248325186267,0.868745682089673,0.008646969808774886
perfume,reversal,perfume_03,0.9867333034137686,0.8731390394097601,0.008462392687056702
perfume,reversal,perfume_04,0.9883340090990009,0.8703707799352448,0.008199377244371716
perfume,reversal,perfume_05,0.9908468948386654,0.8631832236613889,0.008637856892639816
coral,reversal,coral_01,0.9951470770874525,0.8617754749004101,-0.0005111745397198412
coral,reversal,coral_02,0.9951470770874525,0.8617754749004101,-0.0005111745397198412
coral,reversal,coral_03,0.9915936040275393,0.8504621171184542,-0.0024637438461727135
coral,reversal,coral_04,0.9947880788882644,0.8589088159376278,-0.00018474486473873212
coral,reversal,coral_05,0.9937398437500692,0.8615751799862132,-0.0002287466031968551
bark,reversal,bark_01,0.9990343175712738,0.8590736473478028,-0.010361833805491437
bark,reversal,bark_02,0.9990343175712738,0.8590736473478028,-0.010361833805491437
bark,reversal,bark_03,0.9986186976722582,0.8574625849702651,-0.009985134502962113
bark,reversal,bark_04,0.9979557842792861,0.8576285752459386,-0.010544685720284054
bark,reversal,bark_05,0.9989651144705354,0.8591623682125562,-0.011036723281953998
bell,reversal,bell_01,0.9915306437908263,0.8470933393345215,-0.00789821637595584
bell,reversal,bell_02,0.9915306437908263,0.8470933393345215,-0.00789821637595584
bell,reversal,bell_03,0.9900063960457901,0.8304299380780281,-0.00563138296122059
bell,reversal,bell_04,0.9912035177167038,0.848763912912563,-0.007477166020988187
bell,reversal,bell_05,0.9919093300511908,0.8329330720598341,-0.004173071160378292
chime,reversal,chime_01,0.9902719312764595,0.8252291433363906,0.0036930251479282412
chime,reversal,chime_02,0.9902719312764595,0.8252291433363906,0.0036930251479282412
chime,reversal,chime_03,0.9918474812205159,0.8315038943390007,0.001248467142577365
chime,reversal,chime_04,0.983159246101764,0.8355482277995271,0.002106353435537707
chime,reversal,chime_05,0.9861773270659651,0.8364916769456435,-0.001155809248332614
coffee,reversal,coffee_01,0.9938120804531372,0.8671397004951719,-0.0025729236042913903
coffee,reversal,coffee_02,0.9938120804531372,0.8671397004951719,-0.0025729236042913903
coffee,reversal,coffee_03,0.9939837227317829,0.8731390394097601,-0.001509832162789593
coffee,reversal,coffee_04,0.9884573350105166,0.8673256456406445,-0.002852639030975393
coffee,reversal,coffee_05,0.9944886503607901,0.8696462690854491,-0.0030856120324306065
fireworks,reversal,fireworks_01,0.9931070183872361,0.8478905566400662,-0.010444163990021304
fireworks,reversal,fireworks_02,0.9931070183872361,0.8478905566400662,-0.010444163990021304
fireworks,reversal,fireworks_03,0.9950937109687796,0.8506738499329537,-0.012092070844113562
fireworks,reversal,fireworks_04,0.9944363141930563,0.8482977793651046,-0.012458846138733142
fireworks,reversal,fireworks_05,0.9949379827261149,0.849404694129087,-0.01186477028653612
marble,control,marble_01,0.9954502755401652,0.8589034960553308,0.0009439497159698663
marble,control,marble_02,0.9954502755401652,0.8589034960553308,0.0009439497159698663
marble,control,marble_03,0.9939134860975812,0.8473144408517291,-0.00018833922433545761
marble,control,marble_04,0.9904852115201818,0.8553401881222057,0.0014798206962743485
marble,control,marble_05,0.9949347072692112,0.8485163420211657,-0.0014080043702562515
emerald,control,emerald_01,0.9947669739813628,0.8734229388201492,-0.0017296041309460693
emerald,control,emerald_02,0.9947669739813628,0.8734229388201492,-0.0017296041309460693
emerald,control,emerald_03,0.9823456516563858,0.86832371619572,0.004650298127069372
emerald,control,emerald_04,0.9939978920944714,0.8649581327548951,-0.0029608582816857123
emerald,control,emerald_05,0.9942669729649608,0.8700668415932472,-0.0003004864014733913
amber,control,amber_01,0.9975327992361265,0.864961198755825,-0.011427582534197036
amber,control,amber_02,0.9975327992361265,0.864961198755825,-0.011427582534197036
amber,control,amber_03,0.9961342356069294,0.8578047506290861,-0.01126553306851055
amber,control,amber_04,0.9971174378874316,0.8659650049201901,-0.011219139666812566
amber,control,amber_05,0.9955093594701773,0.8660968652643125,-0.01139916354516753
gold,control,gold_01,0.9954269226343628,0.8681844826831544,-0.007354701738305261
gold,control,gold_02,0.9954269226343628,0.8681844826831544,-0.007354701738305261
gold,control,gold_03,0.9951205227699937,0.8612722405895183,-0.008506848978225463
gold,control,gold_04,0.9963764366394628,0.8695918668239153,-0.009062009300349212
gold,control,gold_05,0.9941180531961664,0.8646974878190541,-0.00997329721998836
ruby,control,ruby_01,0.9960875140733672,0.8713633629292998,-0.01678687667452511
ruby,control,ruby_02,0.9960875140733672,0.8713633629292998,-0.01678687667452511
ruby,control,ruby_03,0.9950165512319167,0.8700911994671108,-0.015565173798242397
ruby,control,ruby_04,0.9957273339082912,0.8728002899265263,-0.015661695609467504
ruby,control,ruby_05,0.994808529491984,0.8734229388201492,-0.016602904162751887
sandpaper,control,sandpaper_01,0.9971559827974097,0.8539004972227353,-0.0035289570434107885
sandpaper,control,sandpaper_02,0.9971559827974097,0.8539004972227353,-0.0035289570434107885
sandpaper,control,sandpaper_03,0.9937690452950909,0.8548862710404739,-0.003832562159858291
sandpaper,control,sandpaper_04,0.9959898557777371,0.8564191630803067,-0.003010982877559221
sandpaper,control,sandpaper_05,0.9956672851672552,0.8564005841043382,-0.0019989939686100872
moss,control,moss_01,0.9977611932773975,0.8613789595931622,0.00116785451594243
moss,control,moss_02,0.9977611932773975,0.8613789595931622,0.00116785451594243
moss,control,moss_03,0.9965365508902922,0.8617754749004101,0.0005481382390097263
moss,control,moss_04,0.9972509272847774,0.8602052446102514,0.0005399241955993416
moss,control,moss_05,0.9957196954192108,0.8568989466460742,0.0010953251543286717
