representation,sample_size,concept_count,mean_archive_image_count,stable_concept_fraction,mean_representation_to_prompt_similarity,mean_representation_to_single_similarity
single_image_grounding,1,35,13.714285714285714,0.0,0.00836572937615003,1.0
prototype_size_3,3,35,13.714285714285714,0.0,0.008457277319759624,0.9933631111972645
prototype_size_5,5,35,13.714285714285714,0.0,0.008534333601310886,0.9933976396322755
prototype_size_10,10,35,13.714285714285714,0.0,0.008544246403094435,0.993495348659578
prototype_all_images,999,35,13.714285714285714,0.0,0.008561150992266594,0.9934186275246311
T_prompt_primary,0,35,13.714285714285714,0.0,0.0,0.0
