anchor_name,condition,layer,aggregation,rsa_score,num_concepts
lancaster_full_sensorimotor,M_text_only,0,single_layer,0.06010189707633753,1519
lancaster_full_sensorimotor,M_text_only,1,single_layer,0.04711262680846937,1519
lancaster_full_sensorimotor,M_text_only,2,single_layer,0.04912554053846685,1519
lancaster_full_sensorimotor,M_text_only,3,single_layer,0.0408975533622305,1519
lancaster_full_sensorimotor,M_text_only,4,single_layer,0.02815048685898419,1519
lancaster_full_sensorimotor,M_text_only,5,single_layer,0.04929615959032276,1519
lancaster_full_sensorimotor,M_text_only,6,single_layer,0.08732647287167304,1519
lancaster_full_sensorimotor,M_text_only,7,single_layer,0.09570631426466732,1519
lancaster_full_sensorimotor,M_text_only,8,single_layer,0.08729855932714757,1519
lancaster_full_sensorimotor,M_text_only,9,single_layer,0.060932093511453005,1519
lancaster_full_sensorimotor,M_text_only,10,single_layer,0.08207354518548186,1519
lancaster_full_sensorimotor,M_text_only,11,single_layer,0.13972336857059361,1519
lancaster_full_sensorimotor,M_text_only,12,single_layer,0.1673610227424131,1519
lancaster_full_sensorimotor,M_text_only,13,single_layer,0.1827522269064126,1519
lancaster_full_sensorimotor,M_text_only,14,single_layer,0.17245655544922522,1519
lancaster_full_sensorimotor,M_text_only,15,single_layer,0.16872168743566254,1519
lancaster_full_sensorimotor,M_text_only,16,single_layer,0.13823308339497573,1519
lancaster_full_sensorimotor,M_text_only,17,single_layer,0.13617898630172762,1519
lancaster_full_sensorimotor,M_text_only,18,single_layer,0.139126839150325,1519
lancaster_full_sensorimotor,M_text_only,19,single_layer,0.14434968156205855,1519
lancaster_full_sensorimotor,M_text_only,20,single_layer,0.12206431486791873,1519
lancaster_full_sensorimotor,M_text_only,21,single_layer,0.11696233396575136,1519
lancaster_full_sensorimotor,M_text_only,22,single_layer,0.10727388411871011,1519
lancaster_full_sensorimotor,M_text_only,23,single_layer,0.09371095236825872,1519
lancaster_full_sensorimotor,M_text_only,24,single_layer,0.1026730191789024,1519
lancaster_full_sensorimotor,M_text_only,25,single_layer,0.09245550865833482,1519
lancaster_full_sensorimotor,M_text_only,26,single_layer,0.08762560218054734,1519
lancaster_full_sensorimotor,M_text_only,27,single_layer,0.0841946956823427,1519
lancaster_full_sensorimotor,M_text_only,28,single_layer,0.08217994979549989,1519
lancaster_full_sensorimotor,M_text_only,29,single_layer,0.08204200782782645,1519
lancaster_full_sensorimotor,M_text_only,30,single_layer,0.10790113496164713,1519
lancaster_full_sensorimotor,M_text_only,31,single_layer,0.1292982168278244,1519
lancaster_full_sensorimotor,M_text_only,32,single_layer,0.14505523910704987,1519
lancaster_full_sensorimotor,M_text_only,33,single_layer,0.14406249301766405,1519
lancaster_full_sensorimotor,M_text_only,34,single_layer,0.13923884508239076,1519
lancaster_full_sensorimotor,M_text_only,35,single_layer,0.1204147194655552,1519
lancaster_full_sensorimotor,M_text_only,36,single_layer,0.13124014846694482,1519
lancaster_full_sensorimotor,M_text_only,,mid_to_late_mean_embedding,0.11752867817711428,1519
lancaster_full_sensorimotor,M_matched_image,0,single_layer,0.06010189707633753,1519
lancaster_full_sensorimotor,M_matched_image,1,single_layer,0.048480107738965744,1519
lancaster_full_sensorimotor,M_matched_image,2,single_layer,0.05069322205581311,1519
lancaster_full_sensorimotor,M_matched_image,3,single_layer,0.04517546200374568,1519
lancaster_full_sensorimotor,M_matched_image,4,single_layer,0.039402578445190156,1519
lancaster_full_sensorimotor,M_matched_image,5,single_layer,0.0829276092742701,1519
lancaster_full_sensorimotor,M_matched_image,6,single_layer,0.1303830861498724,1519
lancaster_full_sensorimotor,M_matched_image,7,single_layer,0.14867698362150153,1519
lancaster_full_sensorimotor,M_matched_image,8,single_layer,0.13510347328784772,1519
lancaster_full_sensorimotor,M_matched_image,9,single_layer,0.10194523207512049,1519
lancaster_full_sensorimotor,M_matched_image,10,single_layer,0.13478958477849157,1519
lancaster_full_sensorimotor,M_matched_image,11,single_layer,0.1832163875198856,1519
lancaster_full_sensorimotor,M_matched_image,12,single_layer,0.20802706544672905,1519
lancaster_full_sensorimotor,M_matched_image,13,single_layer,0.2140502534915104,1519
lancaster_full_sensorimotor,M_matched_image,14,single_layer,0.21355635528323028,1519
lancaster_full_sensorimotor,M_matched_image,15,single_layer,0.21728332836153982,1519
lancaster_full_sensorimotor,M_matched_image,16,single_layer,0.18731680372806725,1519
lancaster_full_sensorimotor,M_matched_image,17,single_layer,0.1907081615384411,1519
lancaster_full_sensorimotor,M_matched_image,18,single_layer,0.19081287795015986,1519
lancaster_full_sensorimotor,M_matched_image,19,single_layer,0.18947084421190125,1519
lancaster_full_sensorimotor,M_matched_image,20,single_layer,0.16832595956780796,1519
lancaster_full_sensorimotor,M_matched_image,21,single_layer,0.17086559512304328,1519
lancaster_full_sensorimotor,M_matched_image,22,single_layer,0.16530271058125331,1519
lancaster_full_sensorimotor,M_matched_image,23,single_layer,0.1638480306937625,1519
lancaster_full_sensorimotor,M_matched_image,24,single_layer,0.200276420792608,1519
lancaster_full_sensorimotor,M_matched_image,25,single_layer,0.21902992544683994,1519
lancaster_full_sensorimotor,M_matched_image,26,single_layer,0.2150387503149753,1519
lancaster_full_sensorimotor,M_matched_image,27,single_layer,0.21477203492485428,1519
lancaster_full_sensorimotor,M_matched_image,28,single_layer,0.1996280315664099,1519
lancaster_full_sensorimotor,M_matched_image,29,single_layer,0.19490719931355283,1519
lancaster_full_sensorimotor,M_matched_image,30,single_layer,0.23160364818364587,1519
lancaster_full_sensorimotor,M_matched_image,31,single_layer,0.23681585141749348,1519
lancaster_full_sensorimotor,M_matched_image,32,single_layer,0.2394442350991997,1519
lancaster_full_sensorimotor,M_matched_image,33,single_layer,0.2231446207339122,1519
lancaster_full_sensorimotor,M_matched_image,34,single_layer,0.19678820888371829,1519
lancaster_full_sensorimotor,M_matched_image,35,single_layer,0.18050839979106606,1519
lancaster_full_sensorimotor,M_matched_image,36,single_layer,0.1958736199877017,1519
lancaster_full_sensorimotor,M_matched_image,,mid_to_late_mean_embedding,0.2511739160861602,1519
lancaster_full_sensorimotor,M_degraded_image,0,single_layer,0.06010189707633753,1519
lancaster_full_sensorimotor,M_degraded_image,1,single_layer,0.0476253469275693,1519
lancaster_full_sensorimotor,M_degraded_image,2,single_layer,0.05132521174228916,1519
lancaster_full_sensorimotor,M_degraded_image,3,single_layer,0.0455051292196932,1519
lancaster_full_sensorimotor,M_degraded_image,4,single_layer,0.03924085290241944,1519
lancaster_full_sensorimotor,M_degraded_image,5,single_layer,0.07923183489004496,1519
lancaster_full_sensorimotor,M_degraded_image,6,single_layer,0.12905872273343863,1519
lancaster_full_sensorimotor,M_degraded_image,7,single_layer,0.14559580155727284,1519
lancaster_full_sensorimotor,M_degraded_image,8,single_layer,0.13439923477002322,1519
lancaster_full_sensorimotor,M_degraded_image,9,single_layer,0.10375551393168618,1519
lancaster_full_sensorimotor,M_degraded_image,10,single_layer,0.13365073973855265,1519
lancaster_full_sensorimotor,M_degraded_image,11,single_layer,0.1806518679752281,1519
lancaster_full_sensorimotor,M_degraded_image,12,single_layer,0.20491134762594912,1519
lancaster_full_sensorimotor,M_degraded_image,13,single_layer,0.21630965229562543,1519
lancaster_full_sensorimotor,M_degraded_image,14,single_layer,0.21580885919193873,1519
lancaster_full_sensorimotor,M_degraded_image,15,single_layer,0.21936510615638052,1519
lancaster_full_sensorimotor,M_degraded_image,16,single_layer,0.1911686574896383,1519
lancaster_full_sensorimotor,M_degraded_image,17,single_layer,0.19367328262293174,1519
lancaster_full_sensorimotor,M_degraded_image,18,single_layer,0.19335086793056006,1519
lancaster_full_sensorimotor,M_degraded_image,19,single_layer,0.1926931950771959,1519
lancaster_full_sensorimotor,M_degraded_image,20,single_layer,0.1762465979988004,1519
lancaster_full_sensorimotor,M_degraded_image,21,single_layer,0.1760496470506244,1519
lancaster_full_sensorimotor,M_degraded_image,22,single_layer,0.17082030568310644,1519
lancaster_full_sensorimotor,M_degraded_image,23,single_layer,0.16507280135262623,1519
lancaster_full_sensorimotor,M_degraded_image,24,single_layer,0.19979163290021942,1519
lancaster_full_sensorimotor,M_degraded_image,25,single_layer,0.21351811099595935,1519
lancaster_full_sensorimotor,M_degraded_image,26,single_layer,0.21144691314260597,1519
lancaster_full_sensorimotor,M_degraded_image,27,single_layer,0.21312158355383606,1519
lancaster_full_sensorimotor,M_degraded_image,28,single_layer,0.19929723856311624,1519
lancaster_full_sensorimotor,M_degraded_image,29,single_layer,0.19394267754884773,1519
lancaster_full_sensorimotor,M_degraded_image,30,single_layer,0.2285851734620628,1519
lancaster_full_sensorimotor,M_degraded_image,31,single_layer,0.2348366164477406,1519
lancaster_full_sensorimotor,M_degraded_image,32,single_layer,0.23777885990813177,1519
lancaster_full_sensorimotor,M_degraded_image,33,single_layer,0.22278818489542485,1519
lancaster_full_sensorimotor,M_degraded_image,34,single_layer,0.19887886310804453,1519
lancaster_full_sensorimotor,M_degraded_image,35,single_layer,0.17761507951665856,1519
lancaster_full_sensorimotor,M_degraded_image,36,single_layer,0.18813223783540836,1519
lancaster_full_sensorimotor,M_degraded_image,,mid_to_late_mean_embedding,0.24780020092256738,1519
lancaster_full_sensorimotor,M_mismatched_image,0,single_layer,0.06010189707633753,1519
lancaster_full_sensorimotor,M_mismatched_image,1,single_layer,0.0486963171983243,1519
lancaster_full_sensorimotor,M_mismatched_image,2,single_layer,0.05042708294347756,1519
lancaster_full_sensorimotor,M_mismatched_image,3,single_layer,0.04061129423405896,1519
lancaster_full_sensorimotor,M_mismatched_image,4,single_layer,0.03088262610755658,1519
lancaster_full_sensorimotor,M_mismatched_image,5,single_layer,0.06269068606097174,1519
lancaster_full_sensorimotor,M_mismatched_image,6,single_layer,0.10906908816069102,1519
lancaster_full_sensorimotor,M_mismatched_image,7,single_layer,0.11962282131025236,1519
lancaster_full_sensorimotor,M_mismatched_image,8,single_layer,0.10694048219043222,1519
lancaster_full_sensorimotor,M_mismatched_image,9,single_layer,0.06702822848756992,1519
lancaster_full_sensorimotor,M_mismatched_image,10,single_layer,0.09463186270971854,1519
lancaster_full_sensorimotor,M_mismatched_image,11,single_layer,0.14868053545455157,1519
lancaster_full_sensorimotor,M_mismatched_image,12,single_layer,0.17655559524225667,1519
lancaster_full_sensorimotor,M_mismatched_image,13,single_layer,0.1916211732870643,1519
lancaster_full_sensorimotor,M_mismatched_image,14,single_layer,0.18587304964008583,1519
lancaster_full_sensorimotor,M_mismatched_image,15,single_layer,0.18555066655925068,1519
lancaster_full_sensorimotor,M_mismatched_image,16,single_layer,0.15265759191744882,1519
lancaster_full_sensorimotor,M_mismatched_image,17,single_layer,0.14978485008136222,1519
lancaster_full_sensorimotor,M_mismatched_image,18,single_layer,0.1460482197692181,1519
lancaster_full_sensorimotor,M_mismatched_image,19,single_layer,0.13697471144406112,1519
lancaster_full_sensorimotor,M_mismatched_image,20,single_layer,0.11608165517645144,1519
lancaster_full_sensorimotor,M_mismatched_image,21,single_layer,0.11948575811621623,1519
lancaster_full_sensorimotor,M_mismatched_image,22,single_layer,0.10668872243695145,1519
lancaster_full_sensorimotor,M_mismatched_image,23,single_layer,0.09905769684931474,1519
lancaster_full_sensorimotor,M_mismatched_image,24,single_layer,0.11708479066889402,1519
lancaster_full_sensorimotor,M_mismatched_image,25,single_layer,0.11871662894660504,1519
lancaster_full_sensorimotor,M_mismatched_image,26,single_layer,0.11458241920301536,1519
lancaster_full_sensorimotor,M_mismatched_image,27,single_layer,0.11324233517928803,1519
lancaster_full_sensorimotor,M_mismatched_image,28,single_layer,0.10759949908547942,1519
lancaster_full_sensorimotor,M_mismatched_image,29,single_layer,0.11032696393464574,1519
lancaster_full_sensorimotor,M_mismatched_image,30,single_layer,0.14256909402588955,1519
lancaster_full_sensorimotor,M_mismatched_image,31,single_layer,0.16345881282522678,1519
lancaster_full_sensorimotor,M_mismatched_image,32,single_layer,0.1775163060830103,1519
lancaster_full_sensorimotor,M_mismatched_image,33,single_layer,0.1742427152163045,1519
lancaster_full_sensorimotor,M_mismatched_image,34,single_layer,0.16105799447885,1519
lancaster_full_sensorimotor,M_mismatched_image,35,single_layer,0.14006042190049323,1519
lancaster_full_sensorimotor,M_mismatched_image,36,single_layer,0.16136493828766932,1519
lancaster_full_sensorimotor,M_mismatched_image,,mid_to_late_mean_embedding,0.15671123155442923,1519
lancaster_full_sensorimotor,M_blank_image,0,single_layer,0.06010189707633753,1519
lancaster_full_sensorimotor,M_blank_image,1,single_layer,0.04626008560475447,1519
lancaster_full_sensorimotor,M_blank_image,2,single_layer,0.0497460330589798,1519
lancaster_full_sensorimotor,M_blank_image,3,single_layer,0.04307270656132398,1519
lancaster_full_sensorimotor,M_blank_image,4,single_layer,0.03187359845568169,1519
lancaster_full_sensorimotor,M_blank_image,5,single_layer,0.05442275815116564,1519
lancaster_full_sensorimotor,M_blank_image,6,single_layer,0.09655363139253173,1519
lancaster_full_sensorimotor,M_blank_image,7,single_layer,0.10182301729995212,1519
lancaster_full_sensorimotor,M_blank_image,8,single_layer,0.09370035281570939,1519
lancaster_full_sensorimotor,M_blank_image,9,single_layer,0.06788015610975379,1519
lancaster_full_sensorimotor,M_blank_image,10,single_layer,0.08795393817375424,1519
lancaster_full_sensorimotor,M_blank_image,11,single_layer,0.13827484915000177,1519
lancaster_full_sensorimotor,M_blank_image,12,single_layer,0.16619640476806494,1519
lancaster_full_sensorimotor,M_blank_image,13,single_layer,0.18255211942621738,1519
lancaster_full_sensorimotor,M_blank_image,14,single_layer,0.1745673352245649,1519
lancaster_full_sensorimotor,M_blank_image,15,single_layer,0.17288801928525924,1519
lancaster_full_sensorimotor,M_blank_image,16,single_layer,0.1366670990740147,1519
lancaster_full_sensorimotor,M_blank_image,17,single_layer,0.13755055798973273,1519
lancaster_full_sensorimotor,M_blank_image,18,single_layer,0.1396501859748391,1519
lancaster_full_sensorimotor,M_blank_image,19,single_layer,0.14278881687635162,1519
lancaster_full_sensorimotor,M_blank_image,20,single_layer,0.11437583853154495,1519
lancaster_full_sensorimotor,M_blank_image,21,single_layer,0.11019401484195304,1519
lancaster_full_sensorimotor,M_blank_image,22,single_layer,0.09690544999045067,1519
lancaster_full_sensorimotor,M_blank_image,23,single_layer,0.0881208127752693,1519
lancaster_full_sensorimotor,M_blank_image,24,single_layer,0.1044188293121335,1519
lancaster_full_sensorimotor,M_blank_image,25,single_layer,0.10091742387848897,1519
lancaster_full_sensorimotor,M_blank_image,26,single_layer,0.09749104468002358,1519
lancaster_full_sensorimotor,M_blank_image,27,single_layer,0.09549534469398813,1519
lancaster_full_sensorimotor,M_blank_image,28,single_layer,0.09270394797135931,1519
lancaster_full_sensorimotor,M_blank_image,29,single_layer,0.09267702946274683,1519
lancaster_full_sensorimotor,M_blank_image,30,single_layer,0.12104665272199187,1519
lancaster_full_sensorimotor,M_blank_image,31,single_layer,0.14259859468174896,1519
lancaster_full_sensorimotor,M_blank_image,32,single_layer,0.1581083004760602,1519
lancaster_full_sensorimotor,M_blank_image,33,single_layer,0.15657694819958923,1519
lancaster_full_sensorimotor,M_blank_image,34,single_layer,0.15081190868191632,1519
lancaster_full_sensorimotor,M_blank_image,35,single_layer,0.13291492808252717,1519
lancaster_full_sensorimotor,M_blank_image,36,single_layer,0.15155033194901305,1519
lancaster_full_sensorimotor,M_blank_image,,mid_to_late_mean_embedding,0.13028893801763636,1519
lancaster_perceptual,T_neutral,0,single_layer,0.08904435935501788,1519
lancaster_perceptual,T_neutral,1,single_layer,0.019489738503634887,1519
lancaster_perceptual,T_neutral,2,single_layer,0.019680237743821535,1519
lancaster_perceptual,T_neutral,3,single_layer,0.007099360659294691,1519
lancaster_perceptual,T_neutral,4,single_layer,0.031624845379072626,1519
lancaster_perceptual,T_neutral,5,single_layer,0.010046026490707877,1519
lancaster_perceptual,T_neutral,6,single_layer,0.05179958104479221,1519
lancaster_perceptual,T_neutral,7,single_layer,0.05577399332861158,1519
lancaster_perceptual,T_neutral,8,single_layer,0.08131518494065187,1519
lancaster_perceptual,T_neutral,9,single_layer,0.10911301751287468,1519
