family_name,family_role,text_model,multimodal_model,condition,anchor_name,rsa_score,num_concepts,num_pairs,row_type,contrast_name,contrast_delta
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,THINGS,0.19640581910102636,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,controlled_THINGS,0.19157368556361912,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,SigLIP2,0.11649610449153405,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,CLIP_ViT_L_14,0.16040504645665576,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,DINOv2,0.059598710798704754,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_mismatched_image,lancaster_perceptual,0.16235293274778284,1519,1152921,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,THINGS,0.1708342964003406,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,controlled_THINGS,0.16784939478677316,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,SigLIP2,0.1216006156833154,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,CLIP_ViT_L_14,0.14008690310750369,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,DINOv2,0.05263824146212492,1854,1717731,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,M_blank_image,lancaster_perceptual,0.12831390650236438,1519,1152921,condition_score,,
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,THINGS,,,,contrast,matched_minus_prompt,0.08097454038811902
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,THINGS,,,,contrast,prompt_image_minus_matched,0.005478081112578692
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,THINGS,,,,contrast,matched_minus_blank,0.10142368178865574
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,THINGS,,,,contrast,matched_minus_mismatched,0.07585215908796997
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,controlled_THINGS,,,,contrast,matched_minus_prompt,0.07842408242756416
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,controlled_THINGS,,,,contrast,prompt_image_minus_matched,0.004707723691317833
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,controlled_THINGS,,,,contrast,matched_minus_blank,0.09489495334085371
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,controlled_THINGS,,,,contrast,matched_minus_mismatched,0.07117066256400775
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,SigLIP2,,,,contrast,matched_minus_prompt,0.05106591013868009
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,SigLIP2,,,,contrast,prompt_image_minus_matched,-0.0058258915641303255
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,SigLIP2,,,,contrast,matched_minus_blank,0.07175664653731628
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,SigLIP2,,,,contrast,matched_minus_mismatched,0.07686115772909763
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,CLIP_ViT_L_14,,,,contrast,matched_minus_prompt,0.08218277968850939
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,CLIP_ViT_L_14,,,,contrast,prompt_image_minus_matched,0.006423505988650879
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,CLIP_ViT_L_14,,,,contrast,matched_minus_blank,0.05271882473102235
